sentence1,sentence2,score
شخص ما يصب المكونات في وعاء.,رجل يضع الخضروات في وعاء,0.56
زوجان يمشيان,بعض الرجال يقطعون,0.0
شخص يعزف على الجيتار,الرجل عزف على غيتاره.,0.6
شخص يضيف الطعام في مقلاة.,امرأة تضع الأرز في مقلاة.,0.6
مجموعة من البطاريق تسير.,كمية كبيرة من البطريق تتجه إلى المحيط,0.56
رجل يعزف على الجيتار.,أحدهم يتعامل مع كعكة,0.0
الكلب يقفز على الترامبولين,فتى يعزف على الجيتار.,0.0
رجل يهز حاوية فوق حوض المطبخ,رجل يفرغ حاوية بلاستيكية,0.44
رجل يمشي مع حصان,رجل يقود حصانًا بواسطة حمالته,0.75
يتم قطع الورق بالمقص.,قطعة من الورق يتم قطعها.,0.8
شخص يقشر الجمبرى,قشرت السيدة الجمبري.,0.7
رجل يعزف على الجيتار.,رجل يحاول قراءة الجريدة,0.16
رجل يصنع سرير في فندق,رجل يحمل حيوان,0.16
سحب الكلب ذيل الكلب ثم ساقه,قرد سحب ذيل كلب,0.35
امرأة تضرب بيضتين في وعاء.,شخص يخلط المكونات في وعاء.,0.6
هناك رجل يقفز بالحبل بالخارج,امرأة تقطع خيارًا.,0.0
شخص يقطع بعض البصل,جرذ يغني.,0.0
امرأة تحمل كينغارو,رجل يرتدي قبعة يغني أغنية,0.0
لاعبي كرة القدم يركلون كرة القدم إلى المرمى.,لاعب كرة قدم يسجل هدفاً,0.76
امرأة تطبخ شيئاً ما,امرأة تصب المكونات في مقلاة.,0.64
امرأة تسبح في الشاطئ.,امرأة تتدفق في موجات المحيط,0.64
رجل يحمل رجل آخر,رجل يرش رجل آخر بالماء من خرطوم.,0.16
المرأة تضع العجينة في طبق.,امرأة تسحب نوعاً ما من الغراء اللزج من وعاء.,0.3
رجل يقف ويتحدث عن قميص يوتيوب الرمادي,رجل يظهر قميصاً,0.55
شخص ما يصب زيت الزيتون في وعاء من قطع الطماطم,سكب الرجل الزيت على شرائح الطماطم.,0.75
رجل يعزف على الجيتار.,الرجل عزف على غيتاره مع صديق.,0.64
أحدهم يغلي البوق في وعاء.,شخص ما يصب زيت الزيتون في وعاء من قطع الطماطم,0.16
شخص يقشر البطاطا,القطة تلعق زجاجة صغيرة,0.0
قطة تقفز إلى صندوق.,شاب يتحدث إلى ورقة.,0.0
المرأة تزين الزيت.,امرأة تصب المكونات في وعاء.,0.28
القط ينزلق رأسا على عقب تحت الأريكة.,القط يزحف تحت قطعة أثاث على ظهره.,0.64
المرأة ترقص بينما الرجل يعزف على لوحة المفاتيح,امرأة ترقص على خشبة المسرح,0.44
طباخ ينظف وعاء من الحساء,رجل يمسح حافة وعاء,0.51
هناك انفجار في الصحراء,سلاح نووي ينفجر في الصحراء,0.68
امرأة تقطع ليمونة,رجل يتحدث إلى ميكروفون,0.0
رجل زائد الوزن يقفز من الحبل,شاب يرقص,0.16
السيدة كسرت بيضين خامين.,المرأة تكسر البيض في وعاء.,0.64
رجل يشحذ قلم الرصاص باستخدام سكين.,امرأة ترقص في المطر.,0.0
الألعاب البلاستيكية تطفو في الماء,السيدات يقومن بالرقص,0.0
تبعت السلحفاة السمكة.,سلحفاة بحرية تصطاد الأسماك,0.6
المرأة تفكر بظلال العيون,الفتاة تستخدم قلم رصاص على جفن عينها.,0.56
رجل يربط حذائه,كلب يركب على أكتاف راكب دراجة,0.0
امرأة تقطع اللحم بسكين.,رجل ينشر العجينة,0.08
كلب يركض على الأرض.,فتاة تضرب أظافرها,0.0
رجل يداعب كلباً مقيداً,رجل يظهر كلبه إلى الكاميرا,0.2
امرأة تمشي في أرض مفتوحة مع كلب أليف بينما تتبعها بعض الكلاب الأخرى.,رجل يمشي مع العديد من الكلاب,0.4
امرأة تقطيع بعض الثوم.,شخص ينظف القرص,0.0
فريقين يلعبان كرة القدم.,مجموعات مختلفة من الفرق تلعب كرة القدم في الملعب.,0.5
هناك مخلوق يشبه الفئران يشم رائحته,حيوان يسير على الأرض,0.4
اثنان من محاربي السومو يقاتلان بعضهما البعض,رجل يركب لعبة مائية في الماء,0.0
رجل يرقد على الأرض ويصوب بندقية,رجل ينشر الزبدة على التورتيلا,0.0
زوجان يركضان نحو المحيط,رجل وامرأة يركضون سوياً يمسكون أيديهم,0.56
امرأة تقطع بيضة صلبة,شخص يقطع بيضة مسلوقة إلى قطع.,0.71
اثنين من الروبوتات تقاسم قبلة.,روبوت ذكر وأنثى يقبلان بعضهما.,0.76
قطة تحاول لمس كلب,لقد سخرت القطة الكلب من خلال لمس رأسه.,0.65
كان وحيد القرن يرعى على العشب.,وحيد القرن يراعي في الحقل,0.8
قاد الرجل سيارته الحمراء الصغيرة حول حركة المرور.,ركض الكلب في الماء على الشاطئ.,0.0
رجل يقطع الخبز,رجل يقوم بخدعة مع كرة القدم,0.2
قطة سرعان ما ضربت طفل في الرأس.,قطة وصبي يلعبان معاً.,0.52
القطة تلعب في صندوق.,الكلب يلعب مع منظف الأرضية.,0.28
رقص الزوجان في الكنيسة.,رقصتان بطيئتان,0.64
رجل يداعب تمساح على فمه,شخص يرمي الخضروات المقطعة في وعاء على الموقد.,0.0
شخص يفحص بعض حلوى الأرز,هناك حصان يركض,0.0
امرأة تخلط بيضتين في وعاء زجاجي.,فتاة صغيرة تغني على خشبة المسرح,0.0
الرجل يعزف الطبول,رجل يسكب منظف في المغسلة,0.0
رجل يقطع الفلفل,شخص يقطع فلفل أخضر كبير.,0.76
امرأة تتحدث بلغة الإشارة,امرأة تُبهج بعض المأكولات البحرية.,0.13
صبي يزحف إلى بيت كلب,هناك قطة تلعب على الأرض.,0.0
طارت الفتاة بطائرتها الورقية بينما ركضت إلى أعلى التل.,فتاة فقدت طائرتها الورقية,0.45
امرأة تضع الطعام في وعاء من الماء الساخن,امرأة تقلي اللحم,0.25
قرد صغير يسير عبر الماء,قرد يتجول عبر مستنقع,0.68
رجل يركب دراجة,دب الباندا يأكل,0.0
شاب يغني ويلعب البيانو.,الرجل يكتب رسالة.,0.04
فتى يخلع نظاراته الشمسية,فتى يصرخ,0.1
فتاة تعزف البيانو.,فتى يقوم بعمليات الضغط,0.0
لقد قطعت السيدة الطماطم,شخص ما يقطع الطماطم.,0.8
شخص ما يحمل القنفذ.,يتم تقطيع البصل,0.0
امرأة تقشر البطاطا,امرأة تشوي الأناناس,0.2
قطة تشرب بعض الماء.,هناك شاحنة تنزل من على التل,0.0
شخص يضع الملح والفلفل على قطعة من لحم الخنزير,طفل يجلس على البيانو,0.0
جلس الرجل في مقعده والتحديق.,الفتاة الصغيرة تضع شعرها في ذيل حصان,0.0
امرأة تقسم البطاطا,امرأة تقطع التوفو إلى قطع صغيرة.,0.36
طفل يزحف بسعادة,طفل عطس و أخاف طفل آخر,0.24
شخص يضخ اللحم في المقلاة.,رجل يقطع خضروات,0.12
رجل ينظر من النافذة,امرأة تسبح في الماء.,0.05
رجل جالس يعزف على الجيتار.,رجل يعزف على غيتار صوتي ويغني في ميكروفون,0.65
امرأة تقطع بصلة بسكين.,رجل يجهز بعض الأطباق.,0.25
راكبة تركض و تقفز على حصانها,امرأة تقفز الحواجز على حصان,0.8
فتى يعزف على لوحة المفاتيح,فتى يجلس في غرفة ويعزف على البيانو تحت ضوء المصباح,0.65
رجلين يتشاجران,الرجل يمارس الرياضة,0.15
رجل يعزف على ناي خشبي بينما العديد من الرجال الآخرين يعزفون الطبول.,رجل يعزف على الناي.,0.65
شخص يداعب قرد,رجل يحمل لوري بطيئة,0.24
اثنان من الأرانب الكرتونية يقبلان بعضهما,أرنب يقبل أرنب آخر,0.76
لقد مضغ القنفذ المنشفة,القنفذ يعض البطانية,0.68
القط يلعق نفسه,رجل يقطّع بصلًا أبيضًا بقطّاعة الماندولين.,0.0
خنزير غينيا صغير يعض ويأكل قطعة من الجزر على الأرض.,خنزير غينيا يأكل الجزر.,0.7
أربعة أولاد يقفون أمام السيارة المشتعلة,أربعة شبان يقفون ساكنين بينما تنفجر سيارة خلفهم,0.75
رجل يدخن,جلس الرجل في بدلته ودخن.,0.8
امرأة تضيف الصلصة إلى بعض الطعام.,شخص يقطع الأوراق.,0.04
ثلاثة أطفال يأكلون طعامهم.,قفز الغزال فوق السياج.,0.0
غواصة تمر عبر الماء,طفل ينام,0.0
رجل يركض في الشارع,رجل يعزف على الجيتار,0.16
شخص يقطع بصلة,قطة تتغوط في المرحاض,0.0
يَحْفرُ a غرير في الترابِ.,رجل يحرك صخور كبيرة,0.0
امرأة تقطع فلفل كبير,الكلب يحرك فمه.,0.0
رجل يركب دراجة,رجل يركب دراجة,1.0
رجل وامرأة يقبلون بعضهم البعض,رجل وامرأة يتحدثان مع بعضهما البعض,0.12
امرأة تقطع بصلة,امرأة تقطع بصلة,0.84
صبي صغير يلعب مع كلب.,طفل يلعب مع كلب,0.75
الرجل يرسم,رجل يرسم,1.0
رجل يقطع البطاطا,امرأة تقطع الطماطم.,0.25
فتى يعزف على الجيتار.,طفل يعزف على الجيتار.,0.72
امرأة تقطع بصلة,امرأة تقطع بصلة,1.0
قطار لعبة يضرب سيارة لعبة,قطار لعبة يصطدم بسيارة لعبة,1.0
رجل يعزف على الجيتار.,رجل يعزف على الناي.,0.44
قطة تفتح درج وتتسلق إلى الداخل,قطة تفتح درج وتتسلق إلى الداخل,1.0
امرأة تقلي طعاماً,امرأة تقلي الطعام,0.85
رجل يقطع بصلة,امرأة تقطع بصلة,0.5
فتاة تعزف على الجيتار.,رجل يعزف على الجيتار.,0.56
فتاة تغني على المسرح.,رجل يغني على خشبة المسرح,0.56
امرأة تقود حصاناً,امرأة تركب حمار,0.56
فتاة تعزف على الجيتار.,رجل يعزف على الجيتار.,0.56
امرأة تنظف بعض الروبيان,امرأة تنظف بعض الروبيان,1.0
رجل يرقص على السقف,رجل يرقص على سقف غرفة.,0.96
امرأة تقطع بصلة رقيقة بسكين كبير.,امرأة تقطع البصل بسكين كبير,0.84
